source,dataset,strategy,prune_layers,prune_ratio,metric_name,metric_value,run_dir
keep_position_ids_summary,gqa,random,[2],[0.3],accuracy,61.65,/data_ssd/liuyu/LLaVA-prune_exp/entropy_exp/outputs/runs_keep_position_ids/random/gqa/gqa_random_l2_r0p3__20260323_194800_454817
keep_position_ids_summary,gqa,entropy,[3],[0.2],accuracy,61.56,/data_ssd/liuyu/LLaVA-prune_exp/entropy_exp/outputs/runs_keep_position_ids/entropy/gqa/gqa_entropy_l3_r0p2__20260324_052952_718733
keep_position_ids_summary,gqa,attn_score,[2],[0.3],accuracy,61.54,/data_ssd/liuyu/LLaVA-prune_exp/entropy_exp/outputs/runs_keep_position_ids/attn_score/gqa/gqa_attn_score_l2_r0p3__20260323_194640_568864
keep_position_ids_summary,gqa,sparsevlm,[3],[0.3],accuracy,61.54,/data_ssd/liuyu/LLaVA-prune_exp/entropy_exp/outputs/runs_keep_position_ids/sparsevlm/gqa/gqa_sparsevlm_l3_r0p3__20260324_053011_498172
keep_position_ids_summary,gqa,entropy,[2],[0.2],accuracy,61.53,/data_ssd/liuyu/LLaVA-prune_exp/entropy_exp/outputs/runs_keep_position_ids/entropy/gqa/gqa_entropy_l2_r0p2__20260323_194558_645814
keep_position_ids_summary,gqa,pre_attn_score,[3],[0.3],accuracy,61.53,/data_ssd/liuyu/LLaVA-prune_exp/entropy_exp/outputs/runs_keep_position_ids/pre_attn_score/gqa/gqa_pre_attn_score_l3_r0p3__20260324_053001_800597
keep_position_ids_summary,gqa,attn_score,[1],[0.3],accuracy,61.51,/data_ssd/liuyu/LLaVA-prune_exp/entropy_exp/outputs/runs_keep_position_ids/attn_score/gqa/gqa_attn_score_l1_r0p3__20260323_173812_622828
keep_position_ids_summary,gqa,pre_attn_score,[1],[0.3],accuracy,61.51,/data_ssd/liuyu/LLaVA-prune_exp/entropy_exp/outputs/runs_keep_position_ids/pre_attn_score/gqa/gqa_pre_attn_score_l1_r0p3__20260323_173814_989078
keep_position_ids_summary,gqa,sparsevlm,[1],[0.3],accuracy,61.51,/data_ssd/liuyu/LLaVA-prune_exp/entropy_exp/outputs/runs_keep_position_ids/sparsevlm/gqa/gqa_sparsevlm_l1_r0p3__20260323_173824_538167
keep_position_ids_summary,gqa,attn_score,[3],[0.3],accuracy,61.48,/data_ssd/liuyu/LLaVA-prune_exp/entropy_exp/outputs/runs_keep_position_ids/attn_score/gqa/gqa_attn_score_l3_r0p3__20260324_052959_527423
keep_position_ids_summary,gqa,entropy,[1],[0.3],accuracy,61.46,/data_ssd/liuyu/LLaVA-prune_exp/entropy_exp/outputs/runs_keep_position_ids/entropy/gqa/gqa_entropy_l1_r0p3__20260323_173819_649629
keep_position_ids_summary,gqa,pre_attn_score,[2],[0.3],accuracy,61.46,/data_ssd/liuyu/LLaVA-prune_exp/entropy_exp/outputs/runs_keep_position_ids/pre_attn_score/gqa/gqa_pre_attn_score_l2_r0p3__20260323_194642_982040
keep_position_ids_summary,gqa,sparsevlm,[2],[0.3],accuracy,61.43,/data_ssd/liuyu/LLaVA-prune_exp/entropy_exp/outputs/runs_keep_position_ids/sparsevlm/gqa/gqa_sparsevlm_l2_r0p3__20260323_194802_374327
keep_position_ids_summary,gqa,random,[2],[0.4],accuracy,61.31,/data_ssd/liuyu/LLaVA-prune_exp/entropy_exp/outputs/runs_keep_position_ids/random/gqa/gqa_random_l2_r0p4__20260323_200621_712085
keep_position_ids_summary,gqa,random,[1],[0.4],accuracy,61.27,/data_ssd/liuyu/LLaVA-prune_exp/entropy_exp/outputs/runs_keep_position_ids/random/gqa/gqa_random_l1_r0p4__20260323_173836_203900
keep_position_ids_summary,gqa,random,[3],[0.4],accuracy,61.27,/data_ssd/liuyu/LLaVA-prune_exp/entropy_exp/outputs/runs_keep_position_ids/random/gqa/gqa_random_l3_r0p4__20260324_053023_252532
keep_position_ids_summary,gqa,sparsevlm,[3],[0.4],accuracy,61.22,/data_ssd/liuyu/LLaVA-prune_exp/entropy_exp/outputs/runs_keep_position_ids/sparsevlm/gqa/gqa_sparsevlm_l3_r0p4__20260324_053042_827939
keep_position_ids_summary,gqa,sparsevlm,[2],[0.4],accuracy,61.12,/data_ssd/liuyu/LLaVA-prune_exp/entropy_exp/outputs/runs_keep_position_ids/sparsevlm/gqa/gqa_sparsevlm_l2_r0p4__20260323_200623_971519
keep_position_ids_summary,gqa,random,[2],[0.5],accuracy,61.11,/data_ssd/liuyu/LLaVA-prune_exp/entropy_exp/outputs/runs_keep_position_ids/random/gqa/gqa_random_l2_r0p5__20260323_205025_074386
keep_position_ids_summary,gqa,random,[3],[0.5],accuracy,61.1,/data_ssd/liuyu/LLaVA-prune_exp/entropy_exp/outputs/runs_keep_position_ids/random/gqa/gqa_random_l3_r0p5__20260324_053054_588327
keep_position_ids_summary,gqa,random,[1],[0.5],accuracy,61.03,/data_ssd/liuyu/LLaVA-prune_exp/entropy_exp/outputs/runs_keep_position_ids/random/gqa/gqa_random_l1_r0p5__20260323_184207_709412
keep_position_ids_summary,gqa,pre_attn_score,[3],[0.4],accuracy,60.99,/data_ssd/liuyu/LLaVA-prune_exp/entropy_exp/outputs/runs_keep_position_ids/pre_attn_score/gqa/gqa_pre_attn_score_l3_r0p4__20260324_053016_034743
keep_position_ids_summary,gqa,pre_attn_score,[2],[0.4],accuracy,60.97,/data_ssd/liuyu/LLaVA-prune_exp/entropy_exp/outputs/runs_keep_position_ids/pre_attn_score/gqa/gqa_pre_attn_score_l2_r0p4__20260323_195120_082923
keep_position_ids_summary,gqa,attn_score,[2],[0.4],accuracy,60.96,/data_ssd/liuyu/LLaVA-prune_exp/entropy_exp/outputs/runs_keep_position_ids/attn_score/gqa/gqa_attn_score_l2_r0p4__20260323_195117_783923
keep_position_ids_summary,gqa,attn_score,[3],[0.4],accuracy,60.96,/data_ssd/liuyu/LLaVA-prune_exp/entropy_exp/outputs/runs_keep_position_ids/attn_score/gqa/gqa_attn_score_l3_r0p4__20260324_053013_735509
keep_position_ids_summary,gqa,sparsevlm,[1],[0.4],accuracy,60.88,/data_ssd/liuyu/LLaVA-prune_exp/entropy_exp/outputs/runs_keep_position_ids/sparsevlm/gqa/gqa_sparsevlm_l1_r0p4__20260323_184156_285450
keep_position_ids_summary,gqa,entropy,[1],[0.4],accuracy,60.84,/data_ssd/liuyu/LLaVA-prune_exp/entropy_exp/outputs/runs_keep_position_ids/entropy/gqa/gqa_entropy_l1_r0p4__20260323_173833_803837
keep_position_ids_summary,gqa,attn_score,[1],[0.4],accuracy,60.73,/data_ssd/liuyu/LLaVA-prune_exp/entropy_exp/outputs/runs_keep_position_ids/attn_score/gqa/gqa_attn_score_l1_r0p4__20260323_173826_655618
keep_position_ids_summary,gqa,random,[2],[0.6],accuracy,60.71,/data_ssd/liuyu/LLaVA-prune_exp/entropy_exp/outputs/runs_keep_position_ids/random/gqa/gqa_random_l2_r0p6__20260323_210145_114705
keep_position_ids_summary,gqa,pre_attn_score,[1],[0.4],accuracy,60.68,/data_ssd/liuyu/LLaVA-prune_exp/entropy_exp/outputs/runs_keep_position_ids/pre_attn_score/gqa/gqa_pre_attn_score_l1_r0p4__20260323_173829_110380
keep_position_ids_summary,gqa,random,[3],[0.6],accuracy,60.68,/data_ssd/liuyu/LLaVA-prune_exp/entropy_exp/outputs/runs_keep_position_ids/random/gqa/gqa_random_l3_r0p6__20260324_064502_456889
keep_position_ids_summary,gqa,random,[1],[0.6],accuracy,60.64,/data_ssd/liuyu/LLaVA-prune_exp/entropy_exp/outputs/runs_keep_position_ids/random/gqa/gqa_random_l1_r0p6__20260323_184333_393799
keep_position_ids_summary,gqa,entropy,[2],[0.3],accuracy,60.52,/data_ssd/liuyu/LLaVA-prune_exp/entropy_exp/outputs/runs_keep_position_ids/entropy/gqa/gqa_entropy_l2_r0p3__20260323_194740_072001
keep_position_ids_summary,gqa,entropy,[3],[0.3],accuracy,60.51,/data_ssd/liuyu/LLaVA-prune_exp/entropy_exp/outputs/runs_keep_position_ids/entropy/gqa/gqa_entropy_l3_r0p3__20260324_053006_639998
keep_position_ids_summary,gqa,sparsevlm,[3],[0.5],accuracy,60.51,/data_ssd/liuyu/LLaVA-prune_exp/entropy_exp/outputs/runs_keep_position_ids/sparsevlm/gqa/gqa_sparsevlm_l3_r0p5__20260324_053056_852813
keep_position_ids_summary,gqa,sparsevlm,[2],[0.5],accuracy,60.48,/data_ssd/liuyu/LLaVA-prune_exp/entropy_exp/outputs/runs_keep_position_ids/sparsevlm/gqa/gqa_sparsevlm_l2_r0p5__20260323_205432_797582
keep_position_ids_summary,gqa,attn_score,[3],[0.5],accuracy,60.32,/data_ssd/liuyu/LLaVA-prune_exp/entropy_exp/outputs/runs_keep_position_ids/attn_score/gqa/gqa_attn_score_l3_r0p5__20260324_053045_199122
keep_position_ids_summary,gqa,pre_attn_score,[3],[0.5],accuracy,60.24,/data_ssd/liuyu/LLaVA-prune_exp/entropy_exp/outputs/runs_keep_position_ids/pre_attn_score/gqa/gqa_pre_attn_score_l3_r0p5__20260324_053047_498069
